Bus_name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat_Availability,Bus Link,Bus Route
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,950,4.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,950,4.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,1099,4.5,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdSangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,905,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,950,4.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),23:50,10:00,10h 10m,712,4.5,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,910,4.5,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:10,10h 40m,882,3.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,892,4.3,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,VE A/C Sleeper (2+1),23:55,11:10,11h 15m,892,4.3,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,1080,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,980,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,750,4.1,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,08:20,10h 50m,791,4.1,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,599,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,900,4.5,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,NON A/C Sleeper (2+1),21:05,07:00,09h 55m,650,4.0,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,08:01,09h 56m,900,3.8,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:45,09:10,11h 25m,762,4.1,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:55,08:20,10h 25m,637,3.8,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,999,3.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09:30,11h 15m,1020,4.0,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,600,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:45,08:45,11h 00m,1020,3.7,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,09:35,10h 20m,1099,4.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,08:30,10h 00m,1900,3.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,10h 45m,1010,3.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:00,07:00,11h 00m,555,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
PSR Travels Goa,A/C Sleeper (2+1),23:45,09:15,09h 30m,999,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),21:00,08:45,11h 45m,600,3.1,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),21:30,08:30,11h 00m,860,3.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Grand,A/C Sleeper (2+1),22:00,08:30,10h 30m,999,3.8,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,A/C Sleeper (2+1),22:50,09:30,10h 40m,950,3.7,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,08:00,10h 00m,900,4.0,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin travel house,A/C Sleeper (2+1),23:45,10:45,11h 00m,810,2.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (39),A/C Sleeper (2+1),22:30,09:15,10h 45m,810,2.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Manish Travels,NON A/C Hi-Tech (2+2),21:00,07:30,10h 30m,525,2.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gujarat Travels,Bharath Benz A/C Sleeper (2+2),23:00,10:40,11h 40m,904,2.6,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels (Manish),Non AC Seater (2+2),19:35,07:30,11h 55m,349,3.1,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:55,09:40,09h 45m,899,3.3,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:00,07:00,11h 00m,555,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
PVS Tours and Travels,A/C Sleeper (2+1),22:45,08:45,10h 00m,990,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Shreyash Travels,NON A/C Sleeper (2+1),19:30,06:30,11h 00m,858.5,3.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,A/C Sleeper (2+1),22:15,09:00,10h 45m,950,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Shree Laxmi Travels,Non AC Seater (2+2),21:45,08:45,11h 00m,1400,2.7,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,A/C Sleeper (2+1),22:15,09:15,11h 00m,950,2.9,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:00,07:55,10h 55m,799,3.8,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
PVS Tours and Travels,A/C Seater Push Back (2+2),22:45,08:45,10h 00m,3000,3.4,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
VRL Travels,A/C Sleeper (2+1),23:30,09:45,10h 15m,900,3.2,,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,08:00,14h 00m,600,4.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),21:32,06:22,08h 50m,650,4.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,799,4.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdSangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,07:30,10h 30m,524,4.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,750,4.5,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,05:20,11h 10m,476,4.5,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,846,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,07:30,10h 00m,767,4.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,399,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,615,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),19:30,05:35,10h 05m,654,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),18:00,06:10,12h 10m,699,4.5,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,NON A/C Sleeper (2+1),20:01,06:31,10h 30m,550,4.3,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,VE A/C Sleeper (2+1),19:40,06:10,10h 30m,525,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,07:45,09h 45m,699,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09:30,11h 30m,980,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),18:00,06:15,12h 15m,648,4.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,VE A/C Sleeper (2+1),21:05,07:45,10h 40m,476,4.3,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Amrutyog Travels,A/C Sleeper (2+1),19:00,06:22,11h 22m,599,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,399,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,07:31,10h 15m,550,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,07:15,10h 15m,750,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,05:00,12h 00m,648,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels ( Ashray ),A/C Sleeper (2+1),20:05,06:20,10h 15m,525,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Shreyas),Bharat Benz A/C Sleeper (2+1),20:03,05:48,09h 45m,501,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:25,10h 55m,599,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi Queen Asta,A/C Sleeper (2+1),20:30,07:00,10h 30m,799,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),20:00,06:15,10h 15m,605,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Shreyas),NON A/C Sleeper (2+1),20:30,07:00,10h 30m,450,3.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Dolphin),A/C Sleeper (2+1),17:30,05:00,11h 30m,600,3.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Prasanna Purple Big Bus,VE A/C Sleeper (2+1),22:00,07:30,09h 30m,720,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Humsafar),Bharat Benz A/C Sleeper (2+1),19:30,05:00,09h 30m,699,3.6,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Dolphin),A/C Sleeper (2+1),14:00,01:00,11h 00m,750,3.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,NON A/C Sleeper (2+1),21:02,07:32,10h 30m,450,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
"National Travels,Goa",NON A/C Sleeper (2+1),19:00,06:20,11h 20m,550,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
PSR Travels Goa,A/C Sleeper (2+1),19:15,06:00,10h 45m,799,3.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels(GTA),A/C Sleeper (2+1),19:00,06:00,11h 00m,575,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:30,02:30,11h 00m,650,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,06:30,10h 30m,575,4.1,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Dolphin),A/C Sleeper (2+1),16:30,04:25,11h 55m,600,3.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Giroba Travels (ST.Christopher),NON A/C Airbus (2+2),18:00,05:30,11h 30m,350,3.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Dolphin),AC Sleeper (2+1),18:30,05:30,11h 00m,555,3.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
PSR Travels (Vaibhav),A/C Sleeper (2+1),22:30,07:30,09h 00m,699,3.3,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:20,05:15,10h 55m,605,4.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi Queen Grand,A/C Sleeper (2+1),21:00,08:00,11h 00m,799,3.4,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),18:30,06:55,12h 25m,550,3.6,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Sai Travels - Shree Sai,NON A/C Push Back (2+2),17:30,05:00,11h 30m,5000,3.2,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Manish Travels,NON A/C Seater (2+2),16:45,05:35,12h 50m,350,2.8,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Anand Travels,NON A/C Sleeper (2+1),18:00,04:00,10h 00m,504,2.9,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Gujarat Travels,AC Sleeper (2+1),12:40,23:50,11h 10m,950,2.2,28,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels (Vaibhav),A/C Sleeper (2+1),22:31,08:31,10h 00m,750,2.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Manish Roshan Travels,A/C Sleeper (2+1),19:00,06:30,11h 30m,699,3.6,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Manish Sharma Travels,A/C Sleeper (2+1),17:30,05:00,11h 30m,3000,2.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Manish Travels,A/C Sleeper (2+1),18:00,05:30,11h 30m,699,2.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Travels(GTA),A/C Sleeper (2+1),21:30,10:20,12h 50m,555,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Jolly Tours and Travels,VE A/C Sleeper (2+1),17:30,04:45,11h 15m,1000,3.7,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Giroba Travels (Kelkar),Non A/C Seater / Sleeper (2+1),17:45,05:30,11h 45m,399,3.3,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
VRL Travels,A/C Sleeper (2+1),19:30,05:30,10h 00m,1000,4.0,,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,06:00,12h 55m,900,3.7,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,10:00,17h 00m,795,4.5,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Zingbus Plus,VE A/C Sleeper (2+1),20:00,13:10,17h 10m,568,4.5,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdVaibhav travels,A/C Sleeper (2+1),18:00,12:00,18h 00m,925,3.7,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Zingbus Plus,VE A/C Sleeper (2+1),18:00,11:10,17h 10m,788,4.5,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),17:00,09:10,16h 10m,762,4.4,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),16:00,08:20,16h 20m,637,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdNaik Tours And Travels,NON A/C Sleeper (2+1),14:25,06:30,16h 05m,800,2.8,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),19:30,10:00,14h 30m,712,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,09:35,13h 40m,1099,4.3,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,08:30,17h 00m,860,4.2,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:30,06:30,17h 00m,910,4.1,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
IntrCity SmartBus,AC Sleeper (2+1),20:55,10:45,13h 50m,739,4.0,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Jolly Tours and Travels,VE A/C Sleeper (2+1),18:35,07:05,12h 30m,1200,4.1,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Global Travel Agency (GTA),A/C Sleeper (2+1),17:50,11:35,17h 45m,800,4.1,,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,18:30,08:00,13h 30m,800,3.9,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
IntrCity SmartBus,AC Sleeper (2+1),19:30,09:40,14h 10m,654,4.6,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,VE A/C Sleeper (2+1),20:35,13:25,16h 50m,534,4.6,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
AdIntrCity SmartBus,AC Sleeper (2+1),20:00,10:20,14h 20m,605,3.9,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,09:05,14h 55m,568,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,VE A/C Sleeper (2+1),19:40,10:45,15h 05m,569,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels (Dolphin),A/C Sleeper (2+1),14:00,05:15,15h 15m,850,4.4,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
AdNaik Tours And Travels,NON A/C Sleeper (2+1),16:20,06:45,14h 25m,640,4.6,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
IntrCity SmartBus,AC Sleeper (2+1),18:30,09:00,14h 30m,615,4.3,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
IntrCity SmartBus,AC Sleeper (2+1),21:00,11:20,14h 20m,846,4.3,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,08:10,12h 40m,699,4.3,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:30,06:45,15h 15m,650,4.2,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,11:50,13h 50m,699,4.1,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
GANESH PRASAD TRAVELS,A/C Seater (2+2),17:20,08:30,15h 10m,2500,,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
GANESH PRASAD TRAVELS,NON A/C Seater (2+2),16:20,07:15,14h 55m,2000,,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,735,3.3,,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
SR Tours & Travels,A/C Sleeper (2+1),19:45,05:30,09h 45m,1125,1.9,,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
Kadamba Transport Corporation Limited (KTCL) - 141293,Volvo AC Seater 2+2,19:45,08:15,12h 30m,900,3.8,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,10:15,13h 15m,1599,4.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,10:15,12h 55m,1699,4.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
IntrCity SmartBus,AC Sleeper (2+1),20:30,10:40,14h 10m,1168,4.3,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Streamline tours and travels,A/C Sleeper (2+1),21:15,10:15,13h 00m,1270,4.2,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,NON A/C Sleeper (2+1),20:30,10:00,13h 30m,900,3.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sunrise Tours and Travels,A/C Sleeper (2+1),20:15,08:45,12h 30m,1499,4.3,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,07:00,13h 00m,1100,3.3,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
NAS Travels,A/C Sleeper (2+1),21:30,08:30,11h 00m,2499,,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
NAS Travels,A/C Sleeper (2+1),21:30,10:00,12h 30m,3199,,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Shanta Travels,NON A/C Sleeper (2+1),19:30,08:15,12h 45m,1010,3.9,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sugama Tourist,NON A/C Sleeper (2+1),20:30,07:45,11h 15m,1000,3.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:30,11:20,13h 50m,1136,3.6,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Anand Travels,NON A/C Sleeper (2+1),19:00,07:00,12h 00m,1010,2.9,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sri Sai Logistics,A/C Sleeper (2+1),21:20,09:45,12h 25m,1500,3.6,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
SRS Travels,NON AC Seater / Sleeper 2+1,20:00,09:30,13h 30m,799,2.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sugama Tourist,NON A/C Sleeper (2+1),20:30,08:45,12h 15m,1000,3.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,12:30,13h 00m,750,3.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
SRS Travels,NON AC Seater / Sleeper 2+1,20:00,08:30,12h 30m,799,2.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sugama Tourist,NON A/C Sleeper (2+1),20:30,08:15,11h 45m,1000,3.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sea Bird Tourist,A/C Sleeper (2+1),22:15,11:15,13h 00m,1100,2.5,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sri Tourist,A/C Sleeper (2+1),20:15,07:32,11h 17m,1249,2.6,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sri Sai Logistics,A/C Sleeper (2+1),21:00,09:50,12h 50m,1800,3.1,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Northern Travels,Bharat Benz A/C Sleeper (2+1),21:10,07:00,09h 50m,1899,1.4,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),21:30,10:45,13h 15m,999,,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sam Tourist,A/C Sleeper (2+1),22:30,09:00,10h 30m,1299,3.1,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
SRI GURU SAI TRAVELS,Non A/C Seater / Sleeper (2+1),20:00,09:30,13h 30m,1804,1.9,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
SRI GURU SAI TRAVELS,Non A/C Seater / Sleeper (2+1),19:30,09:00,13h 30m,1804,1.9,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
SRI GURU SAI TRAVELS,Non A/C Seater / Sleeper (2+1),19:00,08:00,13h 00m,1804,1.9,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
